depth scattering_len absorption_len
1398.4 13.2 45.1
1408.4 14.0 48.6
1418.4 14.7 53.2
1428.4 17.0 57.6
1438.4 16.0 57.6
1448.4 14.4 52.2
1458.4 16.0 60.1
1468.4 20.8 74.6
1478.4 26.7 96.6
1488.4 34.7 110.5
1498.4 39.7 135.6
1508.5 38.7 134.7
1518.6 27.8 98.2
1528.7 16.6 64.7
1538.8 13.7 48.5
1548.7 13.5 44.3
1558.7 15.7 54.4
1568.5 15.7 56.7
1578.5 14.7 52.1
1588.5 17.6 60.7
1598.5 21.6 72.7
1608.5 24.0 78.9
1618.5 20.0 68.7
1628.5 17.8 66.6
1638.5 28.9 100.0
1648.4 36.9 128.6
1658.4 42.1 148.2
1668.4 46.5 165.7
1678.5 45.4 156.0
1688.5 39.1 138.5
1698.5 30.6 113.9
1708.5 26.5 90.2
1718.5 19.3 73.5
1728.5 20.8 75.9
1738.5 20.1 67.8
1748.5 20.3 68.6
1758.5 24.5 83.8
1768.5 33.5 119.5
1778.5 36.2 121.6
1788.5 35.4 108.3
1798.5 32.3 113.4
1808.5 40.2 139.1
1818.4 44.7 148.1
1828.4 34.5 122.8
1838.4 30.6 113.8
1848.4 27.5 89.9
1858.4 19.7 71.7
1868.5 21.4 70.6
1878.5 28.8 95.9
1888.5 38.3 116.5
1898.5 38.4 143.6
1908.5 44.2 169.4
1918.5 50.5 178.0
1928.5 46.6 156.5
1938.5 36.8 135.3
1948.5 26.7 103.9
1958.5 20.3 75.2
1968.5 17.4 66.2
1978.5 16.1 53.7
1988.4 9.4 33.6
1998.4 10.6 36.2
2008.4 13.2 44.0
2018.5 10.9 40.4
2028.5 6.8 24.9
2038.5 5.5 20.1
2048.5 5.0 17.9
2058.5 7.2 28.4
2068.5 9.8 34.4
2078.5 12.2 41.6
2088.5 21.1 84.4
2098.5 54.3 173.1
2108.5 50.5 180.8
2118.4 33.5 116.7
2128.4 34.6 120.4
2138.4 48.4 164.4
2148.4 53.2 172.8
2158.3 46.3 149.2
2168.3 32.9 108.4
2178.3 27.4 91.1
2188.2 30.5 98.9
2198.2 28.9 94.0
2208.2 35.1 113.1
2218.2 39.9 134.8
2228.2 48.0 154.1
2238.3 53.3 157.6
2248.3 54.8 180.5
2258.3 57.9 179.7
2268.2 61.1 185.2
2278.2 76.8 227.2
2288.1 79.0 220.8
2298.0 75.6 223.9
2308.0 75.3 256.6
2318.0 78.0 264.4
2328.0 59.4 193.7
2338.0 51.8 159.1
2348.0 32.9 118.7
2357.9 23.9 86.2
2367.8 28.6 104.0
2377.8 32.5 119.7
2387.8 44.5 140.6
2397.9 56.9 203.5
2408.0 57.5 201.8
2418.0 54.3 178.2
2428.1 61.3 206.0
2438.1 68.8 205.2
2448.2 77.6 232.1
2458.2 79.8 259.4
2468.3 89.4 276.1
2478.4 80.7 244.3
2488.4 56.7 185.2
